id,name,description,address,locality,region,latitude,longitude,openingHours,access,wheelchair,babyChange,unisex,male,female,drinkingWater,fee,operator,source,sourceId,sourceIds,sourceUrl,confidence,lastVerified
osm-node-2241669941,Public toilet,,,,,-43.28804,172.7205724,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2241669941,node/2241669941,https://www.openstreetmap.org/node/2241669941,0.55,
osm-node-2241670000,Public toilet,,,,,-43.2975342,172.1939725,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2241670000,node/2241670000,https://www.openstreetmap.org/node/2241670000,0.55,
osm-node-2241670408,Public toilet,,,,,-43.3377425,172.7072259,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2241670408,node/2241670408,https://www.openstreetmap.org/node/2241670408,0.55,
osm-node-2241670681,Public toilet,,,,,-43.5220922,172.7364963,Unknown,public,,,,true,true,,,,OpenStreetMap,node/2241670681,node/2241670681,https://www.openstreetmap.org/node/2241670681,0.6,
osm-node-2242302860,Public toilet,,,,,-37.0753838,175.7832482,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2242302860,node/2242302860,https://www.openstreetmap.org/node/2242302860,0.55,
osm-node-2242515648,Public toilet,,,,,-39.7134985,175.1260574,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2242515648,node/2242515648,https://www.openstreetmap.org/node/2242515648,0.55,
osm-node-2242798926,Public toilet,,,,,-41.7125662,173.1124182,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2242798926,node/2242798926,https://www.openstreetmap.org/node/2242798926,0.55,
osm-node-2246294866,Public toilet,,,,,-37.0462132,175.6021373,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2246294866,node/2246294866,https://www.openstreetmap.org/node/2246294866,0.55,
osm-node-2246559925,Public toilet,,,,,-42.4340234,171.3245187,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2246559925,node/2246559925,https://www.openstreetmap.org/node/2246559925,0.55,
osm-node-2246888436,Public toilet,,,,,-43.6214139,171.4814342,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2246888436,node/2246888436,https://www.openstreetmap.org/node/2246888436,0.55,
osm-node-2247181642,Public toilet,,,,,-44.2854396,169.9426907,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2247181642,node/2247181642,https://www.openstreetmap.org/node/2247181642,0.55,
osm-node-2247182346,Public toilet,,,,,-44.4671567,169.9860171,Unknown,public,,,true,,,,false,,OpenStreetMap,node/2247182346,node/2247182346,https://www.openstreetmap.org/node/2247182346,0.6,
osm-node-2247273655,Public toilet,,,,,-45.1888329,170.1786761,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2247273655,node/2247273655,https://www.openstreetmap.org/node/2247273655,0.55,
osm-node-2247273662,Public toilet,,,,,-45.2446245,170.275578,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2247273662,node/2247273662,https://www.openstreetmap.org/node/2247273662,0.55,
osm-node-2247769189,Public toilet,,,,,-41.3296993,173.2194543,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2247769189,node/2247769189,https://www.openstreetmap.org/node/2247769189,0.55,
osm-node-2247975372,Public toilet,,,,,-37.433957,175.640572,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2247975372,node/2247975372,https://www.openstreetmap.org/node/2247975372,0.55,
